program,module,gz,card_id
Искусственный интеллект и генеративные нейросети,Введение в искусственный интеллект,Рабочая тетрадь «Что такое искусственный интеллект?»,253863
Искусственный интеллект и генеративные нейросети,Искусство промтинга,Рабочая тетрадь «Другие нейросети»,254014
Искусственный интеллект и генеративные нейросети,Искусство промтинга,Рабочая тетрадь «Другие нейросети»,254018
Курс Информатики для 5 класса 2023-2024 по ПРП. Программа «Один час в неделю»,Устройство компьютера,Практика «Устройство компьютера». Часть 2,232968
Курс Информатики для 5 класса 2023-2024 по ПРП. Программа «Один час в неделю»,Хранение информации,Презентация «Информация в XXI веке»,237458
Курс Информатики для 5 класса 2023-2024 по ПРП. Программа «Один час в неделю»,Текстовые редакторы,Дополнительное задание «Учимся быстро печатать»,233968
Курс Информатики для 5 класса 2023-2024 по ПРП. Программа «Один час в неделю»,Графические редакторы,Рабочая тетрадь «Работа с векторными изображениями»,243087
Курс Информатики для 5 класса 2023-2024 по ПРП. Программа «Один час в неделю»,"Интернет, кибербезопасность и поисковые запросы",Рабочая тетрадь «Безопасность в сети»,217567
Курс Информатики для 5 класса 2023-2024 по ПРП. Программа «Один час в неделю»,"Интернет, кибербезопасность и поисковые запросы",Рабочая тетрадь «Безопасность в сети»,217581
Курс Информатики для 5 класса 2023-2024 по ПРП. Программа «Один час в неделю»,"Интернет, кибербезопасность и поисковые запросы",Рабочая тетрадь «Поисковые запросы»,220356
Курс Информатики для 5 класса 2023-2024 по ПРП. Программа «Один час в неделю»,"Интернет, кибербезопасность и поисковые запросы",Рабочая тетрадь «Поиск в специальных сервисах»,220904
Курс Информатики для 5 класса 2023-2024. Соответствует ФГОС. Программа «Один час в неделю»,Устройство компьютера,Практика «Устройство компьютера». Часть 2,232968
Курс Информатики для 5 класса 2023-2024. Соответствует ФГОС. Программа «Один час в неделю»,Хранение информации,Презентация «Информация в XXI веке»,237458
Курс Информатики для 5 класса 2023-2024. Соответствует ФГОС. Программа «Один час в неделю»,Графические редакторы,Рабочая тетрадь «Работа с векторными изображениями»,243087
Курс Информатики для 7 класса 2021-2022,Алгоритмы с ветвлением,Презентация «Анализ программ и решение задач» (Blockly),235774
Курс Информатики для 7 класса 2021-2022,Циклические алгоритмы,Тестовое задание (Blockly),235038
Курс Информатики для 7 класса 2021-2022,Циклические алгоритмы,Тестовое задание (Blockly),235039
Курс Информатики для 7 класса 2021-2022,Циклические алгоритмы,Дополнительные задачи «Цикл WHILE» (Python),221549
Курс Информатики для 7 класса 2021-2022,Циклические алгоритмы,Дополнительные задачи «Цикл WHILE» (Python),221551
Курс Информатики для 7 класса 2021-2022,Циклические алгоритмы,Дополнительные задачи «Цикл WHILE» (Python),221550
Курс Информатики для 8 класса 2021-2022,Разработка веб-страниц,Рабочая тетрадь «Элементы веб⁠-⁠страниц»,220735
Курс Информатики для 8 класса 2021-2022,Разработка веб-страниц,Рабочая тетрадь «Элементы веб⁠-⁠страниц»,220734
Курс Информатики для 8 класса 2021-2022,Работа со строками: сравнение и методы строк,Домашняя работа «Сравнение строк»,228061
Курс Информатики для 8 класса 2023-2024. Программа «Два часа в неделю». Обновлённый вариант,Элементы математической логики,Презентация «Логические операции над множествами»,231768
Курс Информатики для 8 класса 2023-2024. Программа «Два часа в неделю». Обновлённый вариант,Элементы математической логики,Рабочая тетрадь «Логические операции над множествами»,231863
Курс Информатики для 8 класса 2023-2024. Программа «Два часа в неделю». Обновлённый вариант,Элементы математической логики,Презентация «Логические элементы»,238209
Курс Информатики для 8 класса 2023-2024. Программа «Два часа в неделю». Обновлённый вариант,Элементы математической логики,Рабочая тетрадь «Логические элементы»,238283
Курс Информатики для 8 класса 2023-2024. Программа «Два часа в неделю». Обновлённый вариант,Элементы математической логики,Презентация «Логические схемы»,238257
Курс Информатики для 8 класса 2023-2024. Программа «Два часа в неделю». Обновлённый вариант,Элементы математической логики,Рабочая тетрадь «Логические схемы»,238269
Курс Информатики для 8 класса 2023-2024. Программа «Два часа в неделю». Обновлённый вариант,Элементы математической логики,Презентация «Архитектура процессора. Сумматор»,238315
Курс Информатики для 8 класса 2023-2024. Программа «Два часа в неделю». Обновлённый вариант,Язык программирования. Линейные и условные алгоритмы,"Презентация «Вывод, типы данных и переменные»",237123
Курс Информатики для 8 класса 2023-2024. Программа «Два часа в неделю». Обновлённый вариант,Язык программирования. Линейные и условные алгоритмы,"Презентация «Вывод, типы данных и переменные»",237119
Курс Информатики для 8 класса 2023-2024. Программа «Два часа в неделю». Обновлённый вариант,Язык программирования. Линейные и условные алгоритмы,"Дополнительные задачи «Вывод, типы данных и переменные»",232433
Курс Информатики для 8 класса 2023-2024. Программа «Два часа в неделю». Обновлённый вариант,Язык программирования. Линейные и условные алгоритмы,Презентация «Арифметика чисел»,237596
Курс Информатики для 9 класса 2022-2023,Системы счисления,Практика «Переводы из различных систем счисления». Вариант 1,231760
Курс Информатики для 9 класса 2022-2023,Системы счисления,Практика «Переводы из различных систем счисления» Вариант 2,231760
Курс Информатики для 9 класса 2022-2023,Системы счисления,Практика «Переводы из различных систем счисления». Вариант 3,231760
Курс Информатики для 9 класса 2022-2023,Системы счисления,Рабочая тетрадь «Арифметические операции в позиционных системах счисления»,233685
Материалы для подготовки к ОГЭ по информатике,ОГЭ (старая программа),Путь в графе,213027
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,"Компьютер: аппаратное и программное обеспечение, файловая система",Презентация «Программное обеспечение компьютера»,256423
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,"Компьютер: аппаратное и программное обеспечение, файловая система",Презентация «Программное обеспечение компьютера»,256553
Программа Информатики для 10 класса 2024-2025. Программа 1 час в неделю,"Компьютер: аппаратное и программное обеспечение, файловая система",Презентация «Программное обеспечение компьютера»,256425
